channel_id,channel_title,subscribers,thumbnail,category,subscribers_numeric
UCxZRZ3Cnk_XbUJJjvJ2_9UQ,Wandergasm,8270,https://yt3.ggpht.com/ytc/AIdro_mdFX2QDLOL6JuSsuQgCKntsH_Z60ow9OLrE7wsVCe5KwU=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology), Tourism",8270
UCIkTOvhbmxHO4DdpZPpC5ow,Codyumm,254000,https://yt3.ggpht.com/ytc/AIdro_l6SK8FV7wiHUj-lfnDU-J6owkWYT0Ng153PvL-SB2OGF8=s88-c-k-c0x00ffffff-no-rj,"Puzzle video game, Role-playing video game, Action game, Video game culture, Action-adventure game, Casual game, Strategy video game, Simulation video game",254000
UCoxiR5F5bQuY8hLla6zTLow,Chris Wilmshurst,32200,https://yt3.ggpht.com/sGphi7tUr0AIZeyzkMjMS_jXKy7E7pdm06xMZJP7OzoDacxqXyaVm8OpFBQvqwbv5cmoa9R6=s88-c-k-c0x00ffffff-no-rj,"Technology, Lifestyle (sociology)",32200
UCtKf_mQKvfiPvpxyKBVWBoQ,LifeAccordingToJimmy,3350000,https://yt3.ggpht.com/GDm81h8nfU4k5FyvxpZBWjZANX9t3USN8r10ak9uHu6iPItT1UILLimBQzkmCxLF2w2TW1jzJCk=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Film, Entertainment, Television program",3350000
UClbf3kWcT1KGn-WnKPwq7vQ,finzar,488000,https://yt3.ggpht.com/mLJ_DYM808oppUN8nefWlKaEAwFc9AiWSNZV7XDqwyDgLufjlL5ajQDi354ZIy1NQMq4NJwZWg=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Technology",488000
UCFhXFikryT4aFcLkLw2LBLA,NileRed,10200000,https://yt3.ggpht.com/Dv2Ma7-KpJt-SXQXv7fIEA7qkRNGEDvGPH0e33nEkgy35fI0fz48EAd-U7x3C2rPl4K-TX11=s88-c-k-c0x00ffffff-no-rj,"Knowledge, Lifestyle (sociology)",10200000
UC1D3yD4wlPMico0dss264XA,NileBlue,3180000,https://yt3.ggpht.com/4BtodIdSmUGnI60u8Mmau3nu6xYF_0kVOwTvpMfsY3VfZsw40_XBBkmIDTppwekt1gmaRJ7v=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology), Food",3180000
UCBAjhXYe7oCPi5pbMv5AMgw,Tammy Sypniewski,17700,https://yt3.ggpht.com/ytc/AIdro_mRIqorTlmXohJ1stNRVQvbpEb2R0wNJ0eJJud5eNbZKiY=s88-c-k-c0x00ffffff-no-rj,"Technology, Lifestyle (sociology)",17700
UCHlvwzjeiR8RKaF7L0zoqVA,Gladley Gaming,52900,https://yt3.ggpht.com/ytc/AIdro_mvEK4bZREnlusNThospgIKAcAAcP9aWW0E0eWikiGHtA=s88-c-k-c0x00ffffff-no-rj,"Action game, Action-adventure game, Video game culture, Role-playing video game, Strategy video game",52900
UCwjZLzqHYImv4oCJQcZ8Hig,Daniel Schiffer,2330000,https://yt3.ggpht.com/ytc/AIdro_lkJ0kolCL3Md_VtOOE2HMdDWIWGxMqtLTTulx9ORa_daM=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",2330000
UCr393U-KGxbvNAGUHGONhzw,Greerzy,67400,https://yt3.ggpht.com/CJionBgpQn3qoH6R6Md9DPDl6LgX0qM_dRrWcWYlYfQx5zz4t2xTBUsLSUrfqAzNVne-PB76=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology), Hobby",67400
UCBMxQPhfM6nkhQ8vPfQhkCg,ThreadBanger,3750000,https://yt3.ggpht.com/ytc/AIdro_mmwy2flWmn2gha5mTc2l4198XdIENaU_LrkvaaFoE3ddg=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology), Food",3750000
UCJLZe_NoiG0hT7QCX_9vmqw,I did a thing,5470000,https://yt3.ggpht.com/ytc/AIdro_mj5xe_kr7JYc4PDpmc3FaYasPAg5ups859rpzqeXnkuXg=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",5470000
UCNwJz8-bLJge72TzJu4ARUA,Kasey The Golden,1160000,https://yt3.ggpht.com/qSWZEhpmgyrabxpP5EHKa3d4Uo2TOA2cIsFaRKpy-SV4NFvD_91CM0a_lQ0Zf_s4KTrlnl6b=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology)",1160000
UCm22FAXZMw1BaWeFszZxUKw,Kitboga,3820000,https://yt3.ggpht.com/ytc/AIdro_lbsBpOBnjWrrNxEtqSSpKHrcQitC_y-1pRlCUJi8Y8NUA=s88-c-k-c0x00ffffff-no-rj,"Knowledge, Technology, Lifestyle (sociology), Entertainment",3820000
UCjJk212xU15y_NPYKuCsKQA,Ben Marriott,880000,https://yt3.ggpht.com/ytc/AIdro_larhpv3MaxluXgD3HM0SsBSd4-G06zBkkhAP5dWVNVuJhN=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology), Film, Hobby",880000
UCggHsHce2n3vvbJf_8YKrMA,Nerdforge,3860000,https://yt3.ggpht.com/nvaYpZA8ePSNfJJ8QFLtpq42WSZcWUhaj8LyPFPS6X_-rQQbZjIIbxz9IKoBNjecjEu-37dqAQ=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Hobby",3860000
UCu6mSoMNzHQiBIOCkHUa2Aw,Cody'sLab,2210000,https://yt3.ggpht.com/ytc/AIdro_nkRbbxWLqS_5HspvSZjXyix-h2JAhiuf-aLqWomFYw32s=s88-c-k-c0x00ffffff-no-rj,"Hobby, Lifestyle (sociology), Knowledge",2210000
UCI1XS_GkLGDOgf8YLaaXNRA,CalebCity,4860000,https://yt3.ggpht.com/ytc/AIdro_muLDY_t4ffc-2dGJpFiip0XWSP0cXnWzzJ0Mh5rFBCWEE=s88-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Humour, Entertainment, Film",4860000
UClgRkhTL3_hImCAmdLfDE4g,YouTube Movies,194000000,https://yt3.ggpht.com/CLO0IG1iXpslTdxt1UExH-26tWO-yvwag7QjDdIt0udde0o-EJHg0Wv435_ZXDEz-EhI7vId0YU=s88-c-k-c0x00ffffff-no-rj,,194000000
UCsn6cjffsvyOZCZxvGoJxGg,Corridor Digital,10100000,https://yt3.ggpht.com/VSKAVOePHjconr8LVJcC2XEBZXaE-jCKUsuD-yBROvRsaa9m9ttwIW7vILa4GPljoDW2QyyiQA=s88-c-k-c0x00ffffff-no-rj,"Film, Entertainment",10100000
UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,28300000,https://yt3.ggpht.com/ytc/AIdro_m9vIaaeucAbNzjVv31EWyUB0eO1EvwU9lhpXNcTxkb3kw=s88-c-k-c0x00ffffff-no-rj,"Film, Television program, Entertainment",28300000
UCq4qiifOaFGW3a2oljSfxUg,Half-Asleep Chris,4120000,https://yt3.ggpht.com/ytc/AIdro_kqEIIIyK7JWnLZOyJO6Zx2fomJMPoQJpxtlVOgg3jA3p0=s88-c-k-c0x00ffffff-no-rj,"Pet, Lifestyle (sociology), Hobby",4120000
UCiTfB-A55Vq2fB610vaWJVA,Justin Y.,779000,https://yt3.ggpht.com/ytc/AIdro_ml-JslgUpdIuI1pnKdoM_dVhUqB84vRXoYV7WJ49vt4p0=s88-c-k-c0x00ffffff-no-rj,@justiny.,779000
UCmeT4BAeHi59hyQtWg4Eb_A,Joe Fresi,1230,https://yt3.ggpht.com/2b5F6SP6wD01Kehn-9Fb-IjV-m9xYLQLxDmzRNIq3DxT8zR125T6qWcDwgXt2uTK41AQcaVU=s88-c-k-c0x00ffffff-no-rj,"Music, Lifestyle (sociology)",1230
UCJi6adPtAd60Wc47uaAUKlA,liltommyj,38500,https://yt3.ggpht.com/M2F8hJc7SQhE8xKyixq7lh3fh6ri36WPc-_xesuKYVPBeLUsWM0v2KRXKUIKfpu6E-u4M17_=s88-c-k-c0x00ffffff-no-rj,"Electronic music, Music, Video game culture, Action game",38500
UCsM--5bs5DdDVpALDPXUiiw,Evan and Katelyn Gaming,155000,https://yt3.ggpht.com/ytc/AIdro_nVGLCKuuYzurngBeAIslKi_eLcTBcYrhHW1kXAhEmfbFw=s88-c-k-c0x00ffffff-no-rj,"Action game, Action-adventure game, Video game culture, Role-playing video game, Strategy video game, Puzzle video game",155000
UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion,2520000,https://yt3.ggpht.com/ytc/AIdro_msIyBd-xDp_iUCqgGGmmoqGboT3nrsjj88i05c_g4Ad_k=s88-c-k-c0x00ffffff-no-rj,Entertainment,2520000
UC3kTDwUDoyJBOOgsGH2elcg,Zebra Corner (ZebraCorner),1000000,https://yt3.ggpht.com/ytc/AIdro_kEt0uYx724IpbmxtBpAOJIrYH1-7Hoey3wcsAOWgeOc08=s88-c-k-c0x00ffffff-no-rj,"Entertainment, Film",1000000
