channel_id,channel_title,subscribers,thumbnail,category,subscribers_numeric
UCY30JRSgfhYXA6i6xX1erWg,Smosh,26900000,https://yt3.ggpht.com/7WiYNRhekvu81d3UeA1LUmuUmpkienqw-Kfsh7tvCEqWARB6ozpqs4XhZ5w-RdPGcaopLK7KYw=s88-c-k-c0x00ffffff-no-rj,"Television program, Entertainment, Film",26900000
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,19400000,https://yt3.ggpht.com/7vCbvtCqtjQ3YLgsJt7Y952MQV1sBvhllSCSxHP8_sVZdcPCBrITfhkN2RdyCuwPnsByq-1GoA=s88-c-k-c0x00ffffff-no-rj,Knowledge,19400000
UCCWeRTgd79JL0ilH0ZywSJA,AlphaPhoenix,661000,https://yt3.ggpht.com/ytc/AIdro_lAubzuua0Ymk5ZM4jL7_z4yhbKVfzHkKiISlbOH7KoA_Q=s88-c-k-c0x00ffffff-no-rj,"Technology, Hobby, Lifestyle (sociology), Knowledge",661000
